Name,Gender,Telephone,Current,SSN,Salary,Birthday,Birthmonth,birthYear,houseNumber,streetAddress,cityAddress,countryAddress,bonus,cellNumber
Amar Rajput,M,9845987485,true,111,950000.10,1,1,1950,101,Dalal Street,Mumbai,India,952061.10,948745874
Akbar S,M,9984587458,true,112,1050000.89,2,2,1951,102,Main Street,London,England,1052007.89,948745875
Amisha Singh,F,9984587459,true,113,900000.86,3,3,1952,103,Fourth Avenue,London,England,901990.53,948745876
Raj Mathur,M,9984587460,true,114,950000.00,4,4,1953,104,North Main,Vancouver,Canada,951981.50,948745877
Anthony Golsalvis,M,9984587461,false,115,930000.00,5,5,1954,105,South Main,Ottawa,Canada,931977.00,948745878
Binny Sinha,F,9984587462,true,116,850000.00,6,6,1955,106,Mainland,Montreal,Canada,851974.33,948745879
Manisha Sharma,F,9984587463,true,117,1021000.00,7,7,1956,107,Outer Ring Road,Bangalore,India,1022972.71,948745880
Manvir Raut,M,9984587464,true,118,925000.00,8,8,1957,108,Four Square,Bangalore,India,926971.75,948745881
Tarak Mehta,M,9984587465,true,119,750000.00,9,9,1958,109,Central Avenue,Bangalore,India,751971.22,948745882
Akshay Khemka,M,9984587466,false,120,970000.00,10,10,1959,110,M G Road,Bangalore,India,971971.00,948745883
Akshay Kukreja,M,9984587467,true,121,1000000.00,11,11,1960,111,Nehru Road,Bangalore,India,1001971.00,948745884
Twinkle Sinha,F,9984587468,true,122,810000.00,12,12,1961,112,Ram Nagar,Bangalore,India,811971.17,948745885
Amitabh Patil,M,9984587469,true,123,1150000.00,13,1,1962,113,Ravi Nagar,Bangalore,India,1151971.46,948745886
Paresh Singal,M,9984587470,true,124,950000.00,14,2,1963,114,Jail Road,Bangalore,India,951971.86,948745887
Rajesh Solepatil,M,9984587471,true,125,933000.00,15,3,1964,115,Nagar Road,Bangalore,India,934972.33,948745888
Sonali Gujar,F,9984587472,true,126,751000.00,16,4,1965,116,Begumpeth,Hyderabad,India,752972.88,948745889
Sneha Sharma,F,9984587473,false,127,1136000.00,17,5,1966,117,Sindhi Colony,Hyderabad,India,1137973.47,948745890
Swati Mishra,F,9984587474,true,128,950000.00,18,6,1967,118,Hitech City,Hyderabad,India,951974.11,948745891
Neha Nair,F,9984587475,true,129,840000.00,19,7,1968,119,Bahadurpalli,Hyderabad,India,841974.79,948745892
Shikha Reddy,F,9984587476,false,130,940000.00,20,8,1969,120,Gaachibowli,Hyderabad,India,941975.50,948745893
Somesh Gandhi,M,9984587477,true,131,996000.00,21,9,1970,121,Secundrabad,Hyderabad,India,997976.24,948745894
Abhishek Patel,M,9984587478,true,132,1010000.00,22,10,1971,122,Bellundur,Bangalore,India,1011977.00,948745895
Piyali Sethi,F,9984587479,true,133,950000.00,23,11,1972,123,Worli,Mumbai,India,951977.78,948745896
Ankit Shrivastava,M,9984587480,false,134,850000.00,24,12,1973,124,Colaba,Mumbai,India,851978.58,948745897
Chris Moore,M,9984587481,true,135,980000.00,25,1,1974,125,Thane,Mumbai,India,981979.40,948745898
Andrew Mills,M,9984587482,false,136,1100000.00,26,2,1975,126,Kalyan,Mumbai,India,1101980.23,948745899
Peter Jackson,M,9984587483,true,137,990000.00,27,3,1976,127,Dombivali,Mumbai,India,991981.07,948745900
Alice george,F,9984587484,true,138,1050000.00,28,4,1977,128,Cembur,Mumbai,India,1051981.93,948745901
Daniel kent,M,9984587485,true,139,1250000.00,1,5,1978,129,Kurla,Mumbai,India,1252117.00,948745902
Alan Doug,M,9984587486,true,140,1110000.00,2,6,1979,130,Ghatkopar,Mumbai,India,1112049.00,948745903
Christine K,F,9984587487,true,141,880000.00,3,7,1980,131,Mahim,Mumbai,India,882027.00,948745904
Leah Ivy,F,9984587488,true,142,991000.00,4,8,1981,132,Dadar,Mumbai,India,993016.50,948745905
Carrie Yang,F,9984587489,true,143,890500.00,5,9,1982,133,Lower Parel,Mumbai,India,892510.60,948745906
Kevin Michael,M,9984587490,false,144,909000.00,6,10,1983,134,Parel,Mumbai,India,911007.00,948745907
Bob Burton,M,9984587491,true,145,1090000.00,7,11,1984,135,Goregaon,Mumbai,India,1092004.71,948745908
Will Cruise,M,9984587492,true,146,1001000.00,8,12,1985,136,Vashi,Mumbai,India,1003003.25,948745909
Johny Hanks,M,9984587493,true,147,980000.00,9,1,1986,137,New Bombay,Mumbai,India,982002.33,948745910
Mark Johnson,M,9984587494,true,148,780000.00,10,2,1987,138,Panel,Mumbai,India,782001.80,948745911
Jennifer Diesel,F,9984587495,true,149,850000.00,11,3,1988,139,Powai,Mumbai,India,852001.55,948745912
Angelina Ford,F,9984587496,true,150,850000.00,12,4,1989,140,Kanjur Marg,Mumbai,India,852001.50,948745913
Scarlet Jackman,F,9984587497,true,151,880000.00,13,5,1990,141,Bakers Street,San Francisco,USA,882001.62,948745914
Jackie Cooper,M,9984587498,true,152,945000.00,14,6,1991,142,Silicon Valley,San Francisco,USA,947001.86,948745915
Anne Freeman,F,9984587499,true,153,810000.00,15,7,1992,143,Dublin,San Francisco,USA,812002.20,948745916
Paula Adams,F,9984587500,true,154,868000.00,16,8,1993,144,Empire State,San Francisco,USA,870002.63,948745917
Suzy Allan,M,9984587501,false,155,898000.00,17,9,1994,145,Times Square,New York,USA,900003.12,948745918
Sara Anderson,F,9984587502,true,156,1064000.00,18,10,1995,146,Rod Laver,New York,USA,1066003.67,948745919
Laura Angel,F,9984587503,true,157,850000.00,19,11,1996,147,Roalnd Garros,New York,USA,852004.26,948745920
David Agron,M,9984587504,true,158,958000.00,20,12,1997,148,Eden Garden,New York,USA,960004.90,948745921
Stella Alexander,M,9984587505,true,159,1001000.00,21,1,1998,149,Big Ben,New York,USA,1003005.57,948745922
Rosemary Allison,F,9984587506,true,160,1196000.00,22,2,1999,150,Wall Street,New York,USA,1198006.27,948745923
